libxkbcommon 1.3.0-1
libxkbcommon-x11 1.3.0-1
libxkbfile 1.1.0-2
libxml2 2.9.10-9
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
libzip 1.7.3-2
licenses 20200427-1
linux 5.11.16.arch1-1
linux-api-headers 5.10.13-1
linux-firmware 20210315.3568f96-2
linux-headers 5.11.16.arch1-1
linux-lts 5.10.34-1
linux-lts-headers 5.10.34-1
llvm-libs 11.1.0-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lshw B.02.19.2-1
lsof 4.94.0-1
lua 5.4.3-1
lua52 5.2.4-5
luajit 2.0.5-3
lvm2 2.03.11-5
lz4 1:1.9.3-1
lzo 2.10-3
lzop 1.04-3
m4 1.4.18-3
macchanger 1.7.0-5
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-1
md4c 0.4.7-1
mdadm 4.1-2
media-player-info 24-2
mesa 21.0.3-3
meson 0.58.0-1
milou 5.21.5-1
minizip 1:1.2.11-4
mkinitcpio 30-1
mkinitcpio-busybox 1.32.1-3
mobile-broadband-provider-info 20201225-1
modemmanager 1.16.4-1
modemmanager-qt 5.81.0-1
mousepad 0.5.4-1
mpfr 4.1.0-2
mpg123 1.26.5-1
mpv 1:0.33.1-2
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mujs 1.1.2-1
nano 5.7-1
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.31.2-1
neovim 0.4.4-1
net-snmp 5.9-3
net-tools 2.10-1
nettle 3.7.2-1
networkmanager 1.30.4-1
networkmanager-qt 5.81.0-1
ninja 1.10.2-1
noto-fonts 20201226-2
noto-fonts-emoji 20200916-1
npth 1.6-3
nspr 4.30-1
nss 3.64-1
ntfs-3g 2017.3.23-5
openal 1.21.1-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openmpi 4.0.5-3
openssh 8.6p1-1
openssl 1.1.1.k-1
openssl-1.0 1.0.2.u-1
opus 1.3.1-2
orc 0.4.32-1
ostree 2021.2-1
oxygen 5.21.5-1
p11-kit 0.23.22-1
p7zip 1:17.04-1
packagekit 1.1.13-1
packagekit-qt5 1.0.2-1
pacman 5.2.2-3
pacman-contrib 1.4.0-1
pacman-mirrorlist 20210405-1
pahole 1.21-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.4-1
pangomm 2.46.0-1
parted 3.4-2
partitionmanager 21.04.0-1
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
pcsclite 1.9.1-1
perl 5.32.1-1
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
persepolis 3.2.0-6
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
pinentry 1.1.1-1
pipewire 1:0.3.26-1
pixman 0.40.0-1
pkgconf 1.7.3-1
plank 0.11.89-3
plasma-browser-integration 5.21.5-1
plasma-desktop 5.21.5-1
plasma-disks 5.21.5-1
plasma-firewall 5.21.5-1
plasma-framework 5.81.0-1
plasma-integration 5.21.5-1
plasma-nm 5.21.5-1
plasma-pa 5.21.5-1
plasma-sdk 5.21.5-1
plasma-systemmonitor 5.21.5-1
plasma-thunderbolt 5.21.5-1
plasma-vault 5.21.5-1
plasma-wayland-session 5.21.5-1
plasma-workspace 5.21.5-1
plasma-workspace-wallpapers 5.21.5-1
polkit 0.118-1
polkit-kde-agent 5.21.5-1
polkit-qt5 0.113.0-2
poppler 21.05.0-1
poppler-glib 21.05.0-1
poppler-qt5 21.05.0-1
popt 1.18-1
postman-bin 8.3.0-1
powerdevil 5.21.5-1
ppp 2.4.8-1
print-manager 21.04.0-1
prison 5.81.0-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 14.2-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 14.2-3
pulseaudio-qt 1.2-2
purpose 5.81.0-1
